COD_CLASE;COD_MARCA;DESC_MARC;COD_MODELO;DESC_MODE;COD_PARTE;ID_ELEM;DESC_ELEM;NRO_PIEZA;VALOR;FECHA
901;1;Peugeot;15;*307 3P 01/06 y 06/11;4;51962;PUERTA DEL ESPEJO SENSOR / SONDA TEMP;6445F9;45857.88;2023-11-28
901;1;Peugeot;19;*206 GTI y RC 99/10;3;33930;PUERTA DEL ESPEJO ELECT CARCAZA;815243;22923.69;2023-11-28
901;1;Peugeot;19;*206 GTI y RC 99/10;4;34021;PUERTA DEL ESPEJO ELECTRICO;8149KY;309462.82;2023-11-28
901;1;Peugeot;19;*206 GTI y RC 99/10;4;34050;PUERTA DEL ESPEJO ELECT CARCAZA;815242;18121.96;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;3;33853;PUERTA DEL ESPEJO MANUAL C/ CONTROL;96766540XX;127172.23;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;3;33855;PUERTA DEL ESPEJO MANUAL CARCAZA;815241;21982.24;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;3;33915;PUERTA DEL ESPEJO ELECT MOTOR;660238;65624.75;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;3;33930;PUERTA DEL ESPEJO ELECT CARCAZA;815243;22923.69;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;3;33931;PUERTA DEL ESPEJO ELECT CRISTAL;8151QR;55303.84;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;3;51797;PUERTA DEL ESPEJO MANUAL C/ CONTROL 1;96766540XX;127172.23;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;3;51798;PUERTA DEL ESPEJO MANUAL C/ CONTROL 2;8154JC;88628.94;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;3;51799;PUERTA DEL ESPEJO MANUAL C/ CONTROL 3;8154JC;88628.94;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;3;51801;PUERTA DEL ESPEJO MANUAL CARCAZA 1;815243;22923.69;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;3;51803;PUERTA DEL ESPEJO ELECTRICO 1;8154JF;178699.79;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;3;51961;PUERTA DEL ESPEJO SENSOR / SONDA TEMP;6445F9;45857.88;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;4;33968;PUERTA DEL ESPEJO MANUAL C/ CONTROL;96766552XX;120172.63;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;4;33969;PUERTA DEL ESPEJO MANUAL CRISTAL;8151QQ;51254.57;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;4;33970;PUERTA DEL ESPEJO MANUAL CARCAZA;815240;21982.24;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;4;34021;PUERTA DEL ESPEJO ELECTRICO;1607130880;154043.70;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;4;34030;PUERTA DEL ESPEJO ELECT MOTOR;660238;65624.75;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;4;34045;PUERTA DEL ESPEJO ELECT CRISTAL;8151CG;64487.31;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;4;34050;PUERTA DEL ESPEJO ELECT CARCAZA;815242;18121.96;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;4;51897;PUERTA DEL ESPEJO MANUAL C/ CONTROL 1;96766552XX;120172.63;2023-11-28
901;1;Peugeot;21;*206 QUICKSILVER RALLYE 99/10;4;51901;PUERTA DEL ESPEJO MANUAL CARCAZA 1;815242;18121.96;2023-11-28
901;1;Peugeot;22;*306 97/99 4P/5P;3;33853;PUERTA DEL ESPEJO MANUAL C/ CONTROL;8149G3;113138.03;2023-11-28
901;1;Peugeot;22;*306 97/99 4P/5P;3;33906;PUERTA DEL ESPEJO ELECTRICO;8149G2;159625.88;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;3;33853;PUERTA DEL ESPEJO MANUAL C/ CONTROL;96766540XX;127172.23;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;3;33854;PUERTA DEL ESPEJO MANUAL CRISTAL;8151QR;55303.84;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;3;33855;PUERTA DEL ESPEJO MANUAL CARCAZA;815241;21982.24;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;3;33906;PUERTA DEL ESPEJO ELECTRICO;8154JF;178699.79;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;3;33915;PUERTA DEL ESPEJO ELECT MOTOR;660238;65624.75;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;3;33930;PUERTA DEL ESPEJO ELECT CARCAZA;815243;22923.69;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;3;33931;PUERTA DEL ESPEJO ELECT CRISTAL;8151QR;55303.84;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;3;51801;PUERTA DEL ESPEJO MANUAL CARCAZA 1;815243;22923.69;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;3;51803;PUERTA DEL ESPEJO ELECTRICO 1;8154JF;178699.79;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;3;51961;PUERTA DEL ESPEJO SENSOR / SONDA TEMP;6445F9;45857.88;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;4;33968;PUERTA DEL ESPEJO MANUAL C/ CONTROL;8154JC;88628.94;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;4;33969;PUERTA DEL ESPEJO MANUAL CRISTAL;8151QQ;51254.57;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;4;33970;PUERTA DEL ESPEJO MANUAL CARCAZA;815240;21982.24;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;4;34021;PUERTA DEL ESPEJO ELECTRICO;1607130880;154043.70;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;4;34030;PUERTA DEL ESPEJO ELECT MOTOR;660238;65624.75;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;4;34045;PUERTA DEL ESPEJO ELECT CRISTAL;8151QR;55303.84;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;4;34050;PUERTA DEL ESPEJO ELECT CARCAZA;815242;18121.96;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;4;51901;PUERTA DEL ESPEJO MANUAL CARCAZA 1;815242;18121.96;2023-11-28
901;1;Peugeot;23;*206 5P 99/04 04/13;4;51903;PUERTA DEL ESPEJO ELECTRICO 1;8154JF;178699.79;2023-11-28
901;1;Peugeot;27;*306 96/97 4P/5P;3;33906;PUERTA DEL ESPEJO ELECTRICO;8149G5;170387.76;2023-11-28
901;1;Peugeot;27;*306 96/97 4P/5P;4;34021;PUERTA DEL ESPEJO ELECTRICO;8149G5;170387.76;2023-11-28
901;1;Peugeot;28;*106 3P 97/03;3;33853;PUERTA DEL ESPEJO MANUAL C/ CONTROL;8148KP;110653.18;2023-11-28
901;1;Peugeot;28;*106 3P 97/03;4;33968;PUERTA DEL ESPEJO MANUAL C/ CONTROL;8148QP;110653.18;2023-11-28
901;1;Peugeot;29;106 5P 97/03;3;33853;PUERTA DEL ESPEJO MANUAL C/ CONTROL;8148KP;110653.18;2023-11-28
901;1;Peugeot;29;106 5P 97/03;4;33968;PUERTA DEL ESPEJO MANUAL C/ CONTROL;8148QP;110653.18;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;3;33853;PUERTA DEL ESPEJO MANUAL C/ CONTROL;8154JC;88628.94;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;3;33854;PUERTA DEL ESPEJO MANUAL CRISTAL;8151QQ;51254.57;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;3;33855;PUERTA DEL ESPEJO MANUAL CARCAZA;815241;21982.24;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;3;33906;PUERTA DEL ESPEJO ELECTRICO;1607130780;154043.70;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;3;33915;PUERTA DEL ESPEJO ELECT MOTOR;660238;65624.75;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;3;33930;PUERTA DEL ESPEJO ELECT CARCAZA;815243;22923.69;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;3;33931;PUERTA DEL ESPEJO ELECT CRISTAL;8151QR;55303.84;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;3;51797;PUERTA DEL ESPEJO MANUAL C/ CONTROL 1;8154JC;88628.94;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;3;51798;PUERTA DEL ESPEJO MANUAL C/ CONTROL 2;8154JC;88628.94;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;3;51799;PUERTA DEL ESPEJO MANUAL C/ CONTROL 3;8154JC;88628.94;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;3;51801;PUERTA DEL ESPEJO MANUAL CARCAZA 1;815243;22923.69;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;3;51803;PUERTA DEL ESPEJO ELECTRICO 1;8154JF;178699.79;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;3;51961;PUERTA DEL ESPEJO SENSOR / SONDA TEMP;6445F9;45857.88;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;4;33968;PUERTA DEL ESPEJO MANUAL C/ CONTROL;8154JC;88628.94;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;4;33969;PUERTA DEL ESPEJO MANUAL CRISTAL;8151QQ;51254.57;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;4;33970;PUERTA DEL ESPEJO MANUAL CARCAZA;815240;21982.24;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;4;34021;PUERTA DEL ESPEJO ELECTRICO;1607130780;154043.70;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;4;34030;PUERTA DEL ESPEJO ELECT MOTOR;660238;65624.75;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;4;34045;PUERTA DEL ESPEJO ELECT CRISTAL;8151QR;55303.84;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;4;34050;PUERTA DEL ESPEJO ELECT CARCAZA;815242;18121.96;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;4;51897;PUERTA DEL ESPEJO MANUAL C/ CONTROL 1;8154JC;88628.94;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;4;51898;PUERTA DEL ESPEJO MANUAL C/ CONTROL 2;8154JC;88628.94;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;4;51899;PUERTA DEL ESPEJO MANUAL C/ CONTROL 3;8154JC;88628.94;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;4;51901;PUERTA DEL ESPEJO MANUAL CARCAZA 1;815243;22923.69;2023-11-28
901;1;Peugeot;30;*206 3P 99/04 04/12;4;51903;PUERTA DEL ESPEJO ELECTRICO 1;8154JF;178699.79;2023-11-28
901;1;Peugeot;31;*306 99/02 4P/5P;3;33853;PUERTA DEL ESPEJO MANUAL C/ CONTROL;8149G3;113138.03;2023-11-28
901;1;Peugeot;31;*306 99/02 4P/5P;3;33906;PUERTA DEL ESPEJO ELECTRICO;8149G5;170387.76;2023-11-28
901;1;Peugeot;31;*306 99/02 4P/5P;4;34021;PUERTA DEL ESPEJO ELECTRICO;8149G2;159625.88;2023-11-28
