COD_CLASE;COD_MARCA;COD_MODELO;COD_PARTE;NRO_PRESU;ID_ELEM;VALOR_MO;VALOR_REPUESTO;CANT_HS_PINT;VALOR_MAT_PINT
901;1;12;2;8232443;8;7.68;1265405.04;6.67;51053.42
901;1;12;2;8237388;1;0.00;0.00;0.24;6475.34
901;1;12;2;8243663;5;5.68;20171.19;5.36;32215.39
901;1;12;2;8244701;7;10.73;2525328.47;6.03;57742.82
901;1;12;2;8245979;10;12.21;958821.89;7.28;75057.53
901;1;12;2;8246379;26;18.77;4781608.46;12.53;99392.29
901;1;12;2;8248426;2;3.15;0.00;3.68;22349.38
901;1;12;2;8253167;5;13.03;0.00;7.41;48292.10
901;1;12;2;8253211;5;9.10;177431.94;6.96;41661.58
901;1;12;2;8253860;6;3.24;1587761.73;2.77;26300.62
901;1;12;2;8254676;31;21.93;6358107.64;12.68;113360.05
901;1;12;2;8259640;4;5.80;0.00;4.60;36232.43
901;1;12;2;8264009;9;11.71;1190659.84;6.80;62106.85
901;1;12;2;8264252;1;0.81;0.00;1.06;9248.71
901;1;12;2;8266158;9;11.96;240664.45;7.15;48029.42
901;1;12;2;8267623;3;6.83;0.00;5.89;33573.44
901;1;12;2;8270157;3;5.11;0.00;4.00;30961.81
901;1;12;2;8273664;6;8.16;1020297.52;7.23;52871.09
901;1;12;2;8280909;5;4.36;1343838.87;4.54;39747.62
901;1;12;2;8281210;15;6.57;2725478.71;5.34;41414.53
901;1;12;2;8283676;7;11.05;2708591.76;5.82;50984.87
901;1;12;2;8297997;2;0.00;0.00;0.00;0.00
901;1;12;2;8301518;4;2.40;1300036.39;2.77;37977.02
901;1;12;2;8302063;1;0.00;0.00;0.00;0.00
901;1;12;2;8302614;6;5.52;77207.69;2.66;20816.95
901;1;12;2;8306471;3;2.66;0.00;1.68;14982.18
901;1;12;2;8313122;1;0.00;0.00;0.00;0.00
901;1;12;2;8314380;1;3.68;0.00;2.21;16832.66
